                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.4792,                 1.0298,                 1.2271,                0.62711,                0.85714,                 0.7645,                0.54096,                 1.2738,                 1.1423,                 1.1664,              0.0011636,              0.0011636,              0.0011636
                    125,                 1.5961,                  1.077,                 1.2422,                0.60831,                0.85714,                  0.784,                0.51722,                 1.3723,                 1.2091,                 1.1804,              0.0011595,              0.0011595,              0.0011595
                    126,                 1.6109,                  1.031,                 1.2476,                0.66113,                0.83009,                0.85085,                0.53558,                 1.3714,                 1.0978,                  1.161,              0.0011554,              0.0011554,              0.0011554
                    127,                 1.5696,                 1.1024,                 1.2227,                0.92371,                0.78516,                0.91102,                0.57201,                 1.3214,                  0.897,                 1.1442,              0.0011513,              0.0011513,              0.0011513
                    128,                  1.537,                 1.0864,                 1.1966,                0.90139,                0.92857,                0.93602,                0.61026,                 1.2146,                0.84246,                 1.1146,              0.0011471,              0.0011471,              0.0011471
                    129,                 1.6074,                 1.0853,                 1.2901,                 0.9047,                0.92857,                0.92725,                0.62067,                   1.19,                0.83436,                 1.1023,               0.001143,               0.001143,               0.001143
                    130,                 1.4811,                 1.0506,                 1.2239,                0.90858,                0.91897,                0.92878,                0.61806,                 1.2905,                0.83974,                 1.1243,              0.0011389,              0.0011389,              0.0011389
                    131,                 1.5848,                 1.0907,                 1.2791,                0.70055,                0.83659,                0.76818,                0.56347,                 1.1011,                 1.0133,                 1.1168,              0.0011348,              0.0011348,              0.0011348
                    132,                 1.5911,                 1.0957,                 1.2725,                0.79748,                0.84314,                0.87047,                0.60105,                 1.1357,                0.97407,                 1.1446,              0.0011306,              0.0011306,              0.0011306
                    133,                 1.5645,                 1.0467,                 1.2314,                0.80888,                0.89149,                 0.9005,                0.59228,                 1.1376,                0.92437,                 1.1457,              0.0011265,              0.0011265,              0.0011265
